base,gain
ou_half_life,88.15767765045166
rvol_24h,64.72478699684143
log_vol_1h,28.277511835098267
kyle_lambda,28.258187890052795
price_ratio,22.9101345539093
rvol_1h,16.17247438430786
amihud,15.784771919250488
