,gnn_saliency
USDC/binance,139.77416014671326
TUSD/binance,97.67655384540558
USDP/binance,65.17444676160812
BUSD/binance,19.484746977686882
UST/binance,7.666097819805145
DAI/coinbase,0.0
FDUSD/binance,0.0
FRAX/binance,0.0
USDT/coinbase,0.0
