node,asset,venue,fee_tier,gnn_mask_sum,betweenness,propagator_label,betweenness_x_prop,norm_gnn,norm_bc,norm_bc_x_prop,hub_score_structural,hub_score_full,hub_score,rank_full,rank_structural,episode_tag,is_real,rank,ci_lo,ci_hi,ci_std
USDC/binance,USDC,binance,,139.77416014671326,0.0,0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,1,5,UST_Terra,True,1,0.5,0.5,0.5
TUSD/binance,TUSD,binance,,97.67655384540558,0.0,0,0.0,0.698816961181379,0.0,0.0,0.0,0.3494084805906895,0.3494084805906895,2,5,UST_Terra,True,2,0.3494084805906895,0.3494084805906895,0.3494084805906895
USDP/binance,USDP,binance,,65.17444676160812,0.0,0,0.0,0.4662839447090799,0.0,0.0,0.0,0.23314197235453996,0.23314197235453996,3,5,UST_Terra,True,3,0.23314197235453996,0.23314197235453996,0.23314197235453996
BUSD/binance,BUSD,binance,,19.484746977686882,0.0,0,0.0,0.13940163873805297,0.0,0.0,0.0,0.06970081936902649,0.06970081936902649,4,5,UST_Terra,True,4,0.06970081936902649,0.06970081936902649,0.06970081936902649
UST/binance,UST,binance,,7.666097819805145,0.0,0,0.0,0.05484631645619236,0.0,0.0,0.0,0.02742315822809618,0.02742315822809618,5,5,UST_Terra,True,5,0.02742315822809618,0.02742315822809618,0.02742315822809618
DAI/coinbase,DAI,coinbase,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,UST_Terra,True,6,0.0,0.0,0.0
FDUSD/binance,FDUSD,binance,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,UST_Terra,True,7,0.0,0.0,0.0
FRAX/binance,FRAX,binance,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,UST_Terra,True,8,0.0,0.0,0.0
USDT/coinbase,USDT,coinbase,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5,UST_Terra,True,9,0.0,0.0,0.0
