node,asset,venue,fee_tier,gnn_mask_sum,betweenness,propagator_label,betweenness_x_prop,norm_gnn,norm_bc,norm_bc_x_prop,hub_score_structural,hub_score_full,hub_score,rank_full,rank_structural,episode_tag,is_real,rank,ci_lo,ci_hi,ci_std
USDC/binance,USDC,binance,,59.94516324996948,0.0,0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,1,5,USDT_May2022,True,1,0.5,0.5,0.5
TUSD/binance,TUSD,binance,,12.692170917987823,0.0,1,0.0,0.21172969143585216,0.0,0.0,0.0,0.10586484571792608,0.10586484571792608,2,5,USDT_May2022,True,2,0.10586484571792608,0.10586484571792608,0.10586484571792608
USDP/binance,USDP,binance,,6.880858540534973,0.0,1,0.0,0.1147858837558254,0.0,0.0,0.0,0.0573929418779127,0.0573929418779127,3,5,USDT_May2022,True,3,0.0573929418779127,0.0573929418779127,0.0573929418779127
BUSD/binance,BUSD,binance,,0.13069748878479004,0.0,0,0.0,0.0021802841413540827,0.0,0.0,0.0,0.0010901420706770414,0.0010901420706770414,4,5,USDT_May2022,True,4,0.0010901420706770414,0.0010901420706770414,0.0010901420706770414
DAI/coinbase,DAI,coinbase,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,USDT_May2022,True,5,0.0,0.0,0.0
FDUSD/binance,FDUSD,binance,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,USDT_May2022,True,6,0.0,0.0,0.0
FRAX/binance,FRAX,binance,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,USDT_May2022,True,7,0.0,0.0,0.0
USDT/coinbase,USDT,coinbase,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,USDT_May2022,True,8,0.0,0.0,0.0
UST/binance,UST,binance,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5,USDT_May2022,True,9,0.0,0.0,0.0
