,pr_auc,roc_auc,weighted_f1,positive_rate,n
majority,0.29316837009144703,0.5,0.5854249994956436,0.29316837009144703,1859.0
persistence,0.2780461845668286,0.41832069596302346,0.602395059920188,0.29316837009144703,1859.0
logreg,0.3569663247519903,0.5540020666638739,0.6561629596384058,0.29316837009144703,1859.0
xgboost,0.2713296066136268,0.4355417312499127,0.5854249994956436,0.29316837009144703,1859.0
gru,0.26008856318195106,0.45794478656109927,0.584379574111836,0.29316837009144703,1859.0
graphsage,0.3732079797463816,0.6509334897295184,0.5796321461642056,0.29316837009144703,1859.0
gat,0.28748903500889267,0.5201394998114868,0.5457018586373972,0.29316837009144703,1859.0
