,pr_auc,roc_auc,weighted_f1,positive_rate,n
majority,0.026358257127487898,0.5,0.960638623384708,0.026358257127487898,1859.0
persistence,0.03047550338054467,0.5888036982748901,0.9441292777688317,0.026358257127487898,1859.0
logreg,0.02207390085119421,0.42403878678543244,0.8026893976547078,0.026358257127487898,1859.0
xgboost,0.030801204461714183,0.5732213327319877,0.960638623384708,0.026358257127487898,1859.0
gru,0.02236927227441963,0.4397339046115684,0.9410161546745679,0.026358257127487898,1859.0
graphsage,0.022381067258199577,0.36214905851843493,0.08383777723956144,0.026358257127487898,1859.0
gat,0.03244640988390625,0.5818356071710451,0.8967761612457082,0.026358257127487898,1859.0
