,pr_auc,roc_auc,weighted_f1,positive_rate,n
majority,0.04518558364712211,0.5,0.9327438574718537,0.04518558364712211,1859.0
persistence,0.04413868639736366,0.5230717639168344,0.9163765996345183,0.04518558364712211,1859.0
logreg,0.041482634077641696,0.4683970489604293,0.7904367543812999,0.04518558364712211,1859.0
xgboost,0.08082003062638779,0.6132930918846412,0.9327438574718537,0.04518558364712211,1859.0
gru,0.03776220120332629,0.4363112005365527,0.9152457098737874,0.04518558364712211,1859.0
graphsage,0.031465419443452325,0.31677397719651246,0.14309390562648922,0.04518558364712211,1859.0
gat,0.04401494982559907,0.5127498323272972,0.8522611630828141,0.04518558364712211,1859.0
