,pr_auc,roc_auc,weighted_f1,positive_rate,n
majority,0.10704679935449166,0.5,0.8424565575854185,0.10704679935449166,1859.0
persistence,0.09809652640143254,0.4929481746079797,0.8303040033427258,0.10704679935449166,1859.0
logreg,0.11156772881778457,0.549409699097899,0.7350651937514628,0.10704679935449166,1859.0
xgboost,0.13464074661227937,0.5833656232972089,0.8424565575854185,0.10704679935449166,1859.0
gru,0.09042786493294332,0.4374583762184415,0.8291438237318415,0.10704679935449166,1859.0
graphsage,0.11528796204516809,0.5637464430586668,0.7629763674330282,0.10704679935449166,1859.0
gat,0.09095653758219882,0.4488012350911182,0.021787220006785613,0.10704679935449166,1859.0
